author,pull_number,title,description,churn,changed_files,activities,comments,comment_dates,state,creation_date,close_date,closed_by,release_tag
coyotemarin,1502,simplify terminate-idle-clusters,512,126,2,4,0,,merged,2016-12-13T23:22:20+00:00,2016-12-13 23:32:21+00:00,coyotemarin,v0.5.7
coyotemarin,1501,Handle missing SSH binary,130,84,4,4,0,,merged,2016-12-13T18:16:08+00:00,2016-12-13 21:32:52+00:00,coyotemarin,v0.5.7
coyotemarin,1499,drop container_to_attempt_id,117,199,5,4,0,,merged,2016-12-10T00:51:36+00:00,2016-12-10 01:05:47+00:00,coyotemarin,v0.5.7
coyotemarin,1498,bootstrap mrjob in Spark,208,40,3,4,0,,merged,2016-12-08T00:54:35+00:00,2016-12-08 01:04:24+00:00,coyotemarin,v0.5.7
coyotemarin,1495,"bootstrap mrjob with .zip, not .tar.gz",115,246,14,4,0,,merged,2016-12-07T19:31:23+00:00,2016-12-07 19:42:39+00:00,coyotemarin,v0.5.7
coyotemarin,1491,spark_master option,183,144,5,4,0,,merged,2016-11-30T18:15:12+00:00,2016-11-30 18:24:58+00:00,coyotemarin,v0.5.7
coyotemarin,1490,Misc warnings,170,34,3,4,0,,merged,2016-11-29T01:04:03+00:00,2016-11-29 01:10:09+00:00,coyotemarin,v0.5.7
coyotemarin,1489,bump default AMI version to 4.8.2,139,172,4,4,0,,merged,2016-11-29T00:20:15+00:00,2016-11-29 00:33:51+00:00,coyotemarin,v0.5.7
coyotemarin,1488,Spark log interpretation,486,961,9,4,0,,merged,2016-11-28T20:30:04+00:00,2016-11-28 21:03:33+00:00,coyotemarin,v0.5.7
coyotemarin,1483,Spark libjars,164,235,7,4,1,2016-11-15T00:48:36+00:00,merged,2016-11-12T02:33:17+00:00,2016-11-15 00:59:16+00:00,coyotemarin,v0.5.7
coyotemarin,1480,raise step limit to 1000 for most AMIs,324,79,2,4,0,,merged,2016-11-05T04:10:16+00:00,2016-11-05 04:23:03+00:00,coyotemarin,v0.5.7
coyotemarin,1479,is_uri() only accepts file-like URIs,153,43,5,4,0,,merged,2016-11-05T03:34:58+00:00,2016-11-05 04:10:27+00:00,coyotemarin,v0.5.7
coyotemarin,1478,Only load progress of current job,618,110,2,4,0,,merged,2016-11-05T01:39:16+00:00,2016-11-05 02:00:49+00:00,coyotemarin,v0.5.7
coyotemarin,1476,faster task log interpretation,227,439,4,5,0,,merged,2016-11-04T23:23:25+00:00,2016-11-04 23:55:21+00:00,coyotemarin,v0.5.7
jradaelli,1473,Hdinsight,0,14,1,3,0,,closed,2016-11-02T17:23:25+00:00,2016-11-02 17:24:08+00:00,jradaelli,
coyotemarin,1472,Spark JAR support,226,359,9,4,0,,merged,2016-10-30T23:58:34+00:00,2016-10-31 00:01:53+00:00,coyotemarin,v0.5.7
coyotemarin,1471,Spark JAR support,226,3688,30,2,1,2016-10-30T23:57:27+00:00,closed,2016-10-30T23:51:47+00:00,2016-10-30 23:57:27+00:00,coyotemarin,
coyotemarin,1470,Spark passthrough args,212,525,7,4,0,,merged,2016-10-28T23:57:05+00:00,2016-10-29 00:11:40+00:00,coyotemarin,v0.5.7
coyotemarin,1468,Spark warnings,158,194,2,4,0,,merged,2016-10-28T00:01:04+00:00,2016-10-28 18:01:20+00:00,coyotemarin,v0.5.7
coyotemarin,1466,Spark file support,366,523,10,4,0,,merged,2016-10-25T19:21:33+00:00,2016-10-25 19:43:35+00:00,coyotemarin,v0.5.7
coyotemarin,1461,add spark_args option,167,57,4,4,0,,merged,2016-10-14T21:58:28+00:00,2016-10-14 22:17:03+00:00,coyotemarin,v0.5.7
coyotemarin,1460,bring sanity to runner options,505,3088,19,4,0,,merged,2016-10-11T23:20:51+00:00,2016-10-11 23:38:22+00:00,coyotemarin,v0.5.7
jleclanche,1457,Define `task_error` to avoid a possible UnboundLocalError,12,1,1,2,0,,merged,2016-10-11T11:45:16+00:00,2016-10-14 18:13:23+00:00,coyotemarin,
jimjh,1449,add debug logging for pooling feature,97,18,1,3,4,2016-10-14T19:05:36+00:00;2016-10-17T17:45:33+00:00;2016-10-17T18:32:17+00:00;2017-09-22T21:48:54+00:00,merged,2016-09-30T00:05:07+00:00,2016-10-14 19:00:37+00:00,coyotemarin,
coyotemarin,1446,"Spark python bin, cmdenv, jobconf",139,252,7,4,0,,merged,2016-09-23T23:21:54+00:00,2016-09-24 01:48:44+00:00,coyotemarin,v0.5.7
coyotemarin,1445,"Spark python bin, cmdenv, jobconf",139,2352,27,2,1,2016-09-23T23:20:47+00:00,closed,2016-09-23T23:20:28+00:00,2016-09-23 23:20:47+00:00,coyotemarin,
coyotemarin,1443,Jupyter notebook fix,89,58,3,4,0,,merged,2016-09-23T19:23:08+00:00,2016-09-23 19:45:26+00:00,coyotemarin,v0.5.7
coyotemarin,1440,bootstrap Spark,301,328,5,4,1,2016-09-23T20:41:55+00:00,merged,2016-09-17T00:52:37+00:00,2016-09-23 20:42:17+00:00,coyotemarin,v0.5.7
coyotemarin,1438,Hadoop runner spark support,277,388,7,4,0,,merged,2016-09-16T19:49:51+00:00,2016-09-16 20:30:09+00:00,coyotemarin,v0.5.7
coyotemarin,1437,handle unknown Dataproc image versions,433,23,2,4,0,,merged,2016-09-12T20:14:58+00:00,2016-09-12 20:26:07+00:00,coyotemarin,v0.5.6
coyotemarin,1435,improve error picking,299,201,4,4,0,,merged,2016-09-11T17:31:07+00:00,2016-09-11 17:41:54+00:00,coyotemarin,v0.5.6
coyotemarin,1433,Step URI refactor,140,130,6,4,0,,merged,2016-09-09T22:17:07+00:00,2016-09-09 23:01:45+00:00,coyotemarin,v0.5.6
coyotemarin,1427,pick cheapest instance type (inc. for Spark),401,511,9,4,0,,merged,2016-09-06T01:04:57+00:00,2016-09-06 02:59:43+00:00,coyotemarin,v0.5.7
coyotemarin,1426,"Revert ""pick cheapest instance type (inc. for Spark)""",24,1582,23,4,1,2016-09-06T01:02:15+00:00,merged,2016-09-06T00:58:56+00:00,2016-09-06 01:01:49+00:00,coyotemarin,
coyotemarin,1423,pick cheapest instance type (inc. for Spark),401,1582,23,6,0,,merged,2016-09-06T00:33:33+00:00,2016-09-06 00:56:50+00:00,coyotemarin,
coyotemarin,1422,ami_version alias,126,20,2,4,0,,merged,2016-09-05T21:52:24+00:00,2016-09-05 22:01:43+00:00,coyotemarin,v0.5.5
coyotemarin,1418,pooling is case-insensitive for EMR applications,13,19,2,4,0,,merged,2016-09-02T23:35:23+00:00,2016-09-02 23:47:21+00:00,coyotemarin,v0.5.5
coyotemarin,1415,EC2 instance type data refresh,87,66,2,4,0,,merged,2016-09-02T20:29:50+00:00,2016-09-02 21:03:13+00:00,coyotemarin,v0.5.5
coyotemarin,1413,Doc fixes,69,10,2,4,0,,merged,2016-09-02T20:05:42+00:00,2016-09-02 21:02:59+00:00,coyotemarin,v0.5.5
coyotemarin,1410,deprecate hadoop_streaming_jar_on_emr,159,111,5,4,0,,merged,2016-08-26T17:55:18+00:00,2016-08-26 18:09:45+00:00,coyotemarin,v0.5.4
coyotemarin,1408,improved log4j parsing,115,50,3,4,0,,merged,2016-08-20T01:02:40+00:00,2016-08-20 01:25:16+00:00,coyotemarin,v0.5.4
coyotemarin,1407,generic EMR options,347,2290,30,4,0,,merged,2016-08-19T23:54:54+00:00,2016-08-20 00:38:34+00:00,coyotemarin,v0.5.4
coyotemarin,1403,tunnel to correct host for resource tracker,625,307,4,4,0,,merged,2016-08-17T00:36:52+00:00,2016-08-17 00:48:15+00:00,coyotemarin,v0.5.4
coyotemarin,1401,recover from pooled cluster self-termination,504,296,4,4,0,,merged,2016-08-15T00:11:51+00:00,2016-08-15 00:25:50+00:00,coyotemarin,v0.5.4
etiennebatise,1396,Fix job crash during cleanup on local hadoop cluster,1876,2,1,3,4,2016-08-14T21:41:13+00:00;2016-08-14T21:52:30+00:00;2016-08-16T15:56:22+00:00;2016-08-16T16:50:11+00:00,merged,2016-08-10T14:44:31+00:00,2016-08-14 22:17:40+00:00,coyotemarin,
coyotemarin,1395,pass_through_option(),212,197,9,4,0,,merged,2016-08-10T01:31:05+00:00,2016-08-10 06:21:25+00:00,coyotemarin,v0.5.4
coyotemarin,1391,very basic throttling for audit-emr-usage,439,45,3,4,0,,merged,2016-08-08T00:28:42+00:00,2016-08-08 00:37:23+00:00,coyotemarin,v0.5.4
coyotemarin,1390,Don't hide (potential) input files,463,103,2,4,1,2016-08-07T23:33:49+00:00,merged,2016-08-07T23:15:26+00:00,2016-08-07 23:25:29+00:00,coyotemarin,v0.5.4
coyotemarin,1389,Use sudo over SSH,130,224,7,4,0,,merged,2016-08-07T21:55:22+00:00,2016-08-07 22:05:03+00:00,coyotemarin,v0.5.4
coyotemarin,1387,stop log parsing from erroring on fs.exists(),71,36,3,4,0,,merged,2016-08-04T18:46:24+00:00,2016-08-04 18:58:05+00:00,coyotemarin,v0.5.4
coyotemarin,1386,Python on 4.x amis,335,123,3,4,0,,merged,2016-08-03T02:18:56+00:00,2016-08-03 03:37:51+00:00,coyotemarin,v0.5.4
coyotemarin,1384,Spark on EMR,524,1070,16,4,0,,merged,2016-07-30T05:08:35+00:00,2016-07-30 05:21:46+00:00,coyotemarin,v0.5.7
coyotemarin,1383,Spark on EMR (wrong destination),454,1070,16,3,1,2016-07-30T05:07:34+00:00,closed,2016-07-30T05:02:56+00:00,2016-07-30 05:07:34+00:00,coyotemarin,
coyotemarin,1364,Hide credentials from debug log,445,99,3,4,0,,merged,2016-07-28T19:53:04+00:00,2016-07-28 20:19:37+00:00,coyotemarin,v0.5.4
coyotemarin,1351,master node setup script redirects output to stderr,146,16,1,5,0,,merged,2016-07-15T23:24:40+00:00,2016-07-15 23:25:09+00:00,coyotemarin,v0.5.3
coyotemarin,1350,add emr_configurations option,150,529,11,4,0,,merged,2016-07-15T22:47:07+00:00,2016-07-15 23:12:41+00:00,coyotemarin,v0.5.3
coyotemarin,1349,more default hadoop log dir paths,72,43,3,4,0,,merged,2016-07-08T23:49:19+00:00,2016-07-12 22:43:31+00:00,coyotemarin,v0.5.3
coyotemarin,1348,subnet option,238,171,7,5,0,,merged,2016-07-08T23:22:18+00:00,2016-07-08 23:45:12+00:00,coyotemarin,v0.5.3
coyotemarin,1347,determine cause of bootstrap script failure,348,806,9,4,0,,merged,2016-07-08T21:16:59+00:00,2016-07-08 23:28:12+00:00,coyotemarin,v0.5.3
coyotemarin,1344,LIBJARS attribute,108,350,19,4,0,,merged,2016-06-30T23:08:01+00:00,2016-06-30 23:24:39+00:00,coyotemarin,v0.5.3
coyotemarin,1342,libjars,654,1236,16,4,0,,merged,2016-06-30T18:16:47+00:00,2016-06-30 18:28:18+00:00,coyotemarin,v0.5.3
coyotemarin,1329,option combiner fixes,77,34,4,4,0,,merged,2016-06-10T18:58:22+00:00,2016-06-10 19:15:13+00:00,coyotemarin,v0.5.3
jacobtomlinson,1327,Check current directory for config,310,10,4,1,4,2016-06-08T18:13:21+00:00;2016-06-08T18:27:45+00:00;2016-06-08T19:04:55+00:00;2016-06-08T21:04:56+00:00,closed,2016-06-08T13:05:28+00:00,2016-06-08 18:13:21+00:00,coyotemarin,
coyotemarin,1318,SSH tunnel tweaks,150,159,3,4,0,,merged,2016-05-27T20:00:05+00:00,2016-05-27 21:01:39+00:00,coyotemarin,v0.5.3
coyotemarin,1317,Steps ordering,744,252,7,4,0,,merged,2016-05-23T19:54:48+00:00,2016-05-23 23:01:48+00:00,coyotemarin,v0.5.2
coyotemarin,1315,4.x resource tracker,402,43,4,4,0,,merged,2016-05-21T03:54:01+00:00,2016-05-21 04:27:04+00:00,coyotemarin,v0.5.2
coyotemarin,1314,fix deprecated tools modules,382,18,5,4,0,,merged,2016-05-20T23:06:56+00:00,2016-05-20 23:23:25+00:00,coyotemarin,v0.5.2
coyotemarin,1313,"use localhost, not *host*, for destination of SSH tunnel",99,4,1,5,0,,merged,2016-05-20T22:27:38+00:00,2016-05-20 22:39:07+00:00,coyotemarin,v0.5.2
coyotemarin,1310,Add emr_applications option,309,235,6,4,0,,merged,2016-05-09T23:00:27+00:00,2016-05-10 00:39:35+00:00,coyotemarin,v0.5.2
coyotemarin,1309,Tilde in include,363,36,2,4,0,,merged,2016-05-09T21:44:32+00:00,2016-05-09 22:55:39+00:00,coyotemarin,v0.5.2
coyotemarin,1307,Debug jar issues,214,63,3,4,0,,merged,2016-04-29T20:10:32+00:00,2016-04-29 20:21:06+00:00,coyotemarin,v0.5.1
Jyrsa,1305,Update hadoop compression options in cookbook,142,15,1,2,4,2016-04-27T17:32:22+00:00;2016-04-27T18:24:06+00:00;2016-04-28T14:04:16+00:00;2016-04-30T02:46:44+00:00,merged,2016-04-27T12:31:34+00:00,2016-04-30 02:58:21+00:00,coyotemarin,
coyotemarin,1303,respect strict_protocols: False in config,722,100,5,4,0,,merged,2016-04-23T21:15:12+00:00,2016-04-23 21:27:56+00:00,coyotemarin,v0.5.1
EdwardBetts,1301,Include tests in release source tarball,570,1,1,5,3,2016-04-23T19:51:33+00:00;2016-04-30T02:16:23+00:00;2016-04-30T02:40:27+00:00,merged,2016-04-23T11:48:34+00:00,2016-04-30 02:40:08+00:00,coyotemarin,v0.5.2
coyotemarin,1300,Wrong task error,157,51,2,4,0,,merged,2016-04-23T02:45:46+00:00,2016-04-23 02:58:01+00:00,coyotemarin,v0.5.1
coyotemarin,1298,fixes to partitioner and SORT_VALUES,380,340,10,4,0,,merged,2016-04-23T01:45:54+00:00,2016-04-23 01:55:48+00:00,coyotemarin,v0.5.1
coyotemarin,1297,use (x)range for ssh_bind_ports default,283,16,3,4,0,,merged,2016-04-22T23:02:50+00:00,2016-04-22 23:18:38+00:00,coyotemarin,v0.5.1
jimjh,1295,Add --ssh-socks-proxy,258,150,4,2,4,2016-04-07T02:06:42+00:00;2016-04-07T02:07:44+00:00;2016-04-23T02:53:36+00:00;2016-05-12T20:59:43+00:00,closed,2016-04-07T02:04:20+00:00,2016-05-12 20:59:43+00:00,jimjh,
coyotemarin,1291,mrjob subcommand fixes,87,14,2,4,0,,merged,2016-03-26T00:42:21+00:00,2016-03-26 01:00:57+00:00,coyotemarin,v0.5.0
coyotemarin,1289,small fixes,184,615,15,4,0,,merged,2016-03-25T23:51:26+00:00,2016-03-26 00:09:39+00:00,coyotemarin,v0.5.0
coyotemarin,1283,Fix mrboss,163,29,3,4,0,,merged,2016-03-25T17:34:12+00:00,2016-03-25 18:12:46+00:00,coyotemarin,v0.5.0
coyotemarin,1280,Update docs,288,897,33,4,0,,merged,2016-03-24T21:56:12+00:00,2016-03-24 23:22:55+00:00,coyotemarin,v0.5.0
irskep,1274,Fix typos in release notes,278,4,1,3,1,2016-03-23T17:10:12+00:00,merged,2016-03-22T23:40:02+00:00,2016-03-23 17:10:05+00:00,coyotemarin,v0.5.0
coyotemarin,1273,bootstrap_python simplification,451,260,6,4,0,,merged,2016-03-21T18:14:00+00:00,2016-03-21 18:54:11+00:00,coyotemarin,v0.5.0
ameya-pandilwar,1272,Replace use of deprecated 'hadoop dfsadmin' command,13,4,2,3,2,2016-04-04T19:19:55+00:00;2016-07-08T23:51:54+00:00,closed,2016-03-19T22:18:45+00:00,2016-07-08 23:51:54+00:00,coyotemarin,
coyotemarin,1270,EMR python_bin defaults,239,150,5,4,0,,merged,2016-03-18T23:27:00+00:00,2016-03-18 23:38:14+00:00,coyotemarin,v0.5.0
coyotemarin,1268,Restore simplejson,87,155,7,4,0,,merged,2016-03-18T21:01:26+00:00,2016-03-18 23:36:59+00:00,coyotemarin,v0.5.0
coyotemarin,1267,split REMOTE_TMP into CLOUD_TMP and HADOOP_TMP,64,182,7,4,0,,merged,2016-03-18T20:03:10+00:00,2016-03-18 20:15:22+00:00,coyotemarin,v0.5.0
coyotemarin,1262,"updates to ""What's New in 0.5.0""",183,74,2,4,0,,merged,2016-03-16T23:41:13+00:00,2016-03-16 23:53:21+00:00,coyotemarin,v0.5.0
coyotemarin,1260,__credits__ and copyright notices,65,219,78,4,0,,merged,2016-03-16T21:50:01+00:00,2016-03-16 22:03:57+00:00,coyotemarin,v0.5.0
coyotemarin,1259,pyflakes/PEP8 for v0.5.0,25,215,47,4,0,,merged,2016-03-16T19:25:44+00:00,2016-03-16 19:40:37+00:00,coyotemarin,v0.5.0
coyotemarin,1258,Whats new in mrjob 0.5.0,138,185,4,5,0,,merged,2016-03-16T18:24:01+00:00,2016-03-16 18:39:10+00:00,coyotemarin,v0.5.0
coyotemarin,1256,Respect key pairs when pooling,148,35,2,4,0,,merged,2016-03-12T00:46:55+00:00,2016-03-12 01:06:39+00:00,coyotemarin,v0.5.0
coyotemarin,1255,Clean up status logging,266,149,14,4,0,,merged,2016-03-12T00:06:01+00:00,2016-03-12 00:24:21+00:00,coyotemarin,v0.5.0
coyotemarin,1251,Stop apt-getting,223,110,3,4,0,,merged,2016-03-11T19:56:16+00:00,2016-03-11 21:16:49+00:00,coyotemarin,v0.5.0
coyotemarin,1249,Disable job cleanup in EMR,183,298,8,4,0,,merged,2016-03-11T18:55:23+00:00,2016-03-11 19:05:49+00:00,coyotemarin,v0.5.0
coyotemarin,1245,4.x log fetching,226,246,5,4,0,,merged,2016-03-08T06:30:50+00:00,2016-03-08 06:51:25+00:00,coyotemarin,v0.5.0
coyotemarin,1243,Google dataproc runner,416,4216,32,7,33,2016-03-10T01:33:55+00:00;2016-03-23T23:30:57+00:00;2016-04-24T06:11:06+00:00;2016-05-09T20:53:14+00:00;2016-03-09T23:47:22+00:00;2016-03-09T23:52:35+00:00;2016-03-09T23:55:38+00:00;2016-03-09T23:59:38+00:00;2016-03-10T00:01:21+00:00;2016-03-10T00:05:31+00:00;2016-03-10T00:06:41+00:00;2016-03-10T00:11:37+00:00;2016-03-10T00:15:20+00:00;2016-03-10T00:16:37+00:00;2016-03-10T00:33:39+00:00;2016-03-10T00:45:30+00:00;2016-03-10T00:57:38+00:00;2016-03-10T00:58:31+00:00;2016-03-10T01:01:52+00:00;2016-03-10T01:04:23+00:00;2016-03-10T01:05:48+00:00;2016-03-10T01:07:34+00:00;2016-03-10T01:14:04+00:00;2016-03-10T01:17:47+00:00;2016-03-10T01:20:28+00:00;2016-03-10T01:21:01+00:00;2016-03-10T01:23:03+00:00;2016-03-10T01:25:03+00:00;2016-03-10T01:26:18+00:00;2016-03-10T01:27:14+00:00;2016-03-10T01:27:45+00:00;2016-03-10T01:28:10+00:00;2016-03-10T01:30:06+00:00,merged,2016-03-08T01:21:23+00:00,2016-05-09 20:52:41+00:00,coyotemarin,
coyotemarin,1240,Hide the symbols,242,1094,44,4,0,,merged,2016-03-06T23:42:49+00:00,2016-03-06 23:52:31+00:00,coyotemarin,v0.5.0
mmontagna,1239,Don't join an EMR cluster with a different ec2_key_pair.,232,8,1,2,1,2016-03-12T01:07:55+00:00,merged,2016-03-05T07:43:17+00:00,2016-03-12 01:06:40+00:00,coyotemarin,
coyotemarin,1238,Wait for s3 logs,283,127,3,4,0,,merged,2016-03-03T23:57:56+00:00,2016-03-04 00:51:09+00:00,coyotemarin,v0.5.0
coyotemarin,1237,Step log rotation,118,284,6,4,0,,merged,2016-03-03T22:36:52+00:00,2016-03-03 22:41:09+00:00,coyotemarin,v0.5.0
coyotemarin,1235,LogInterpretationMixin,384,1591,9,4,0,,merged,2016-03-03T18:54:48+00:00,2016-03-03 18:58:02+00:00,coyotemarin,v0.5.0
coyotemarin,1231,Key pair warning,251,101,4,4,0,,merged,2016-02-26T21:59:00+00:00,2016-02-26 22:48:17+00:00,coyotemarin,v0.5.0
coyotemarin,1229,StepFailedException,589,219,11,4,0,,merged,2016-02-22T23:34:09+00:00,2016-02-22 23:43:21+00:00,coyotemarin,v0.5.0
coyotemarin,1228,Replace _print_counters(),123,159,8,4,0,,merged,2016-02-22T00:55:26+00:00,2016-02-22 00:59:30+00:00,coyotemarin,v0.5.0
coyotemarin,1227,refer to modern Hadoop versions,194,1061,6,4,0,,merged,2016-02-21T23:48:29+00:00,2016-02-21 23:52:49+00:00,coyotemarin,v0.5.0
coyotemarin,1226,"cluster, not job flow",178,2725,39,4,0,,merged,2016-02-21T23:14:51+00:00,2016-02-21 23:23:28+00:00,coyotemarin,v0.5.0
coyotemarin,1224,Farewell old hadoop,140,771,13,4,0,,merged,2016-02-19T21:38:09+00:00,2016-02-19 21:55:32+00:00,coyotemarin,v0.5.0
coyotemarin,1223,logs on EMR,141,3468,21,4,0,,merged,2016-02-19T19:02:48+00:00,2016-02-19 19:48:49+00:00,coyotemarin,v0.5.0
coyotemarin,1217,Hadoop log parsing,186,4330,21,4,0,,merged,2016-01-30T22:09:07+00:00,2016-01-30 22:49:14+00:00,coyotemarin,v0.5.0
alex,1214,List the 3 and 4 AMIs before the 2 AMI in the docs,95,44,1,6,5,2016-01-27T16:49:45+00:00;2016-03-03T18:59:57+00:00;2016-03-03T19:00:53+00:00;2016-03-03T19:03:07+00:00;2016-03-03T19:03:41+00:00,merged,2016-01-27T15:16:16+00:00,2016-03-03 18:59:41+00:00,coyotemarin,v0.5.0
ramrengaswamy,1210,Job logs on AWS EMR 3.11.0 are compressed.,126,2,1,3,1,2016-01-18T17:35:54+00:00,merged,2016-01-18T04:02:30+00:00,2016-01-18 17:35:51+00:00,coyotemarin,v0.5.0
coyotemarin,1206,Fetch counters in pre-YARN Hadoop,514,2181,16,6,0,,merged,2016-01-15T21:29:48+00:00,2016-01-15 21:41:17+00:00,coyotemarin,v0.5.0
coyotemarin,1204,Pre-YARN task log parsing,289,416,11,4,0,,merged,2015-12-30T22:02:41+00:00,2015-12-30 22:13:19+00:00,coyotemarin,v0.5.0
coyotemarin,1199,Fetch hadoop logs in YARN,766,2283,27,6,0,,merged,2015-12-23T21:48:08+00:00,2015-12-23 22:21:56+00:00,coyotemarin,v0.5.0
coyotemarin,1192,Hadoop counter parsing from stderr,333,509,11,5,0,,merged,2015-11-25T23:19:21+00:00,2015-11-25 23:27:14+00:00,coyotemarin,v0.5.0
macrotim,1191,Fixed docs,0,8,4,5,1,2015-12-07T20:17:01+00:00,merged,2015-11-25T07:46:38+00:00,2015-12-07 20:17:11+00:00,coyotemarin,v0.5.0
macrotim,1190,Fixed docs/guides/writing-mrjobs.rst,0,6,1,3,1,2015-11-24T18:09:46+00:00,merged,2015-11-24T09:43:53+00:00,2015-11-24 18:09:43+00:00,coyotemarin,v0.5.0
coyotemarin,1187,local/inline runner.fs refuses URIs,158,32,5,4,0,,merged,2015-11-19T22:34:25+00:00,2015-11-19 22:55:47+00:00,coyotemarin,v0.5.0
coyotemarin,1186,Recursive S3 ls,153,148,3,4,0,,merged,2015-11-19T22:00:39+00:00,2015-11-19 22:30:55+00:00,coyotemarin,v0.5.0
coyotemarin,1182,Fix Hadoop du(),376,144,4,4,0,,merged,2015-11-14T01:02:01+00:00,2015-11-14 21:03:30+00:00,coyotemarin,v0.5.0
coyotemarin,1181,Make hadoop runner work out-of-the-box in most cases,508,859,11,4,0,,merged,2015-11-13T21:20:29+00:00,2015-11-13 21:30:57+00:00,coyotemarin,v0.5.0
coyotemarin,1179,relative conf includes,141,279,4,4,0,,merged,2015-11-09T17:38:30+00:00,2015-11-09 17:44:28+00:00,coyotemarin,v0.4.6
coyotemarin,1176,Skip test if no jar command,151,85,3,4,2,2015-11-06T19:08:55+00:00;2015-11-06T19:47:35+00:00,merged,2015-11-06T18:56:09+00:00,2015-11-06 19:08:21+00:00,coyotemarin,
coyotemarin,1174,List combiners,155,85,3,4,0,,merged,2015-11-06T01:00:10+00:00,2015-11-06 01:05:22+00:00,coyotemarin,v0.4.6
coyotemarin,1173,"List combiners (wrong base branch, ignore)",155,85,3,3,1,2015-11-06T00:59:00+00:00,closed,2015-11-06T00:55:19+00:00,2015-11-06 00:59:00+00:00,coyotemarin,
mikekap,1170,Fix two bugs when running mrjob master:,218,29,3,3,5,2015-11-05T20:53:59+00:00;2015-11-05T21:21:12+00:00;2015-11-05T21:24:17+00:00;2015-11-16T23:59:40+00:00;2015-11-19T22:59:41+00:00,merged,2015-11-03T02:21:57+00:00,2015-11-19 22:58:52+00:00,coyotemarin,
coyotemarin,1167,!clear tag in mrjob confs,789,744,7,4,0,,merged,2015-10-29T23:10:23+00:00,2015-11-05 20:08:27+00:00,coyotemarin,v0.4.6
coyotemarin,1165,use `which yarn` in terminate_idle_job_flow.sh,51,10,2,5,0,,merged,2015-10-29T19:00:04+00:00,2015-10-29 19:10:59+00:00,coyotemarin,v0.5.0
dallasmarlow,1163,only check for running yarn applications when yarn command exists,0,6,1,7,4,2015-10-27T17:42:29+00:00;2015-10-27T17:56:56+00:00;2015-10-27T18:15:08+00:00;2015-10-27T20:36:02+00:00,merged,2015-10-27T14:02:51+00:00,2015-10-29 19:11:00+00:00,coyotemarin,
coyotemarin,1159,Call runner.fs.<method>() explicitly,575,495,26,4,0,,merged,2015-10-22T19:46:24+00:00,2015-10-22 20:38:52+00:00,coyotemarin,v0.5.0
coyotemarin,1158,use ls/rm -R in YARN,422,335,5,4,0,,merged,2015-10-21T21:28:37+00:00,2015-10-21 21:47:11+00:00,coyotemarin,v0.5.0
coyotemarin,1151,self-termination script respects other YARN applications,117,9,1,4,0,,merged,2015-10-16T23:00:07+00:00,2015-10-16 23:16:44+00:00,coyotemarin,v0.5.0
coyotemarin,1149,"Don't load boto for hadoop, local runners",18,30,2,4,0,,merged,2015-10-16T22:35:24+00:00,2015-10-16 22:44:50+00:00,coyotemarin,v0.5.0
coyotemarin,1147,mkdir -p in Hadoop 2,455,140,7,4,2,2015-10-16T20:22:48+00:00;2015-10-16T20:24:19+00:00,merged,2015-10-16T20:19:39+00:00,2015-10-16 20:33:32+00:00,coyotemarin,v0.5.0
coyotemarin,1144,Fix HadoopRunner.get_hadoop_version() in Python 3,427,25,3,5,0,,merged,2015-10-09T04:04:38+00:00,2015-10-09 04:10:56+00:00,coyotemarin,v0.5.0
coyotemarin,1143,Make inline mode handle steps with no mapper,239,78,5,4,0,,merged,2015-10-09T02:27:50+00:00,2015-10-09 02:33:33+00:00,coyotemarin,v0.5.0
graingert,1140,Support universal wheels,0,3,1,12,4,2015-10-06T16:25:05+00:00;2015-10-06T16:25:44+00:00;2015-11-09T20:37:19+00:00;2015-11-09T20:38:12+00:00,merged,2015-10-01T23:51:18+00:00,2015-10-06 16:23:50+00:00,coyotemarin,v0.5.0
coyotemarin,1139,version-agnostic local mode,603,440,11,4,0,,merged,2015-10-01T00:12:14+00:00,2015-10-06 16:11:20+00:00,coyotemarin,v0.5.0
coyotemarin,1136,Install ujson on Python 2,564,463,4,4,1,2015-09-29T00:23:27+00:00,merged,2015-09-29T00:05:30+00:00,2015-10-06 16:09:24+00:00,coyotemarin,v0.5.0
coyotemarin,1135,Python-version-specific mrjob command,171,26,3,4,0,,merged,2015-09-28T18:36:04+00:00,2015-09-28 18:49:31+00:00,coyotemarin,v0.5.0
coyotemarin,1134,rename is_mapper_or_reducer() to is_task(),86,40,6,4,0,,merged,2015-09-28T18:02:03+00:00,2015-09-28 18:10:53+00:00,coyotemarin,v0.5.0
coyotemarin,1132,load pool_wait_minutes from mrjob.conf,153,29,4,4,1,2015-09-28T16:59:05+00:00,merged,2015-09-28T16:50:20+00:00,2015-09-28 16:58:53+00:00,coyotemarin,v0.5.0
coyotemarin,1131,ReleaseLabel and basic 4.x AMI support,2160,778,15,4,0,,merged,2015-09-27T18:59:36+00:00,2015-10-06 16:26:55+00:00,coyotemarin,v0.5.0
coyotemarin,1128,refactor finding of relevant logs,1016,1195,25,4,1,2015-09-18T18:43:45+00:00,merged,2015-09-16T04:54:03+00:00,2015-09-18 19:28:38+00:00,coyotemarin,v0.5.0
